*HANZI	HANZI_SCORE	TIMESTAMP	PINYIN_SCORE	TIMESTAMP	TONE_SCORE	TIMESTAMP	ENGLISH_SCORE	TIMESTAMP*
有	0.0	0.0	0.0	0.0	2.0	1498467609.0	0.0	0.0
萨尔	0.0	0.0	0.0	0.0	5.0	1498636250.0	0.0	0.0
好吃	0.0	0.0	0.0	0.0	5.0	1498636176.0	0.0	0.0
右	0.0	0.0	0.0	0.0	-1.0	1498725087.0	0.0	0.0
四	0.0	0.0	0.0	0.0	5.0	1498468204.0	0.0	0.0
要	0.0	0.0	0.0	0.0	3.0	1498577823.0	0.0	0.0
说	0.0	0.0	0.0	0.0	3.0	1498577516.0	0.0	0.0
来	0.0	0.0	0.0	0.0	3.0	1498468132.0	0.0	0.0
爸爸	0.0	0.0	0.0	0.0	0.0	1498467904.0	0.0	0.0
拼音	0.0	0.0	0.0	0.0	4.0	1498636717.0	0.0	0.0
学习	0.0	0.0	0.0	0.0	4.0	1498636220.0	0.0	0.0
公司	0.0	0.0	0.0	0.0	1.0	1498724941.0	0.0	0.0
再见	0.0	0.0	0.0	0.0	5.0	1498725323.0	0.0	0.0
这	0.0	0.0	0.0	0.0	3.0	1498636092.0	0.0	0.0
女士	0.0	0.0	0.0	0.0	0.0	1498423588.0	0.0	0.0
地方	0.0	0.0	0.0	0.0	0.0	1498726086.0	0.0	0.0
几	0.0	0.0	0.0	0.0	4.0	1498725392.0	0.0	0.0
三	0.0	0.0	0.0	0.0	-2.0	1498725526.0	0.0	0.0
电脑	0.0	0.0	0.0	0.0	-1.0	1498577522.0	0.0	0.0
晚安	0.0	0.0	0.0	0.0	-3.0	1498725524.0	0.0	0.0
会	0.0	0.0	0.0	0.0	4.0	1498636226.0	0.0	0.0
左	0.0	0.0	0.0	0.0	0.0	1498725223.0	0.0	0.0
恐怕	0.0	0.0	0.0	0.0	4.0	1498725367.0	0.0	0.0
明天	0.0	0.0	0.0	0.0	2.0	1498635934.0	0.0	0.0
水	0.0	0.0	0.0	0.0	2.0	1498636147.0	0.0	0.0
月	0.0	0.0	0.0	0.0	2.0	1498636260.0	0.0	0.0
身体	0.0	0.0	0.0	0.0	-2.0	1498725179.0	0.0	0.0
伞	0.0	0.0	0.0	0.0	3.0	1498468299.0	0.0	0.0
回	0.0	0.0	0.0	0.0	1.0	1498725436.0	0.0	0.0
怎么走	0.0	0.0	0.0	0.0	-1.0	1498725141.0	0.0	0.0
一	0.0	0.0	0.0	0.0	1.0	1498468305.0	0.0	0.0
下雨	0.0	0.0	0.0	0.0	4.0	1498635992.0	0.0	0.0
天气	0.0	0.0	0.0	0.0	4.0	1498636715.0	0.0	0.0
医生	0.0	0.0	0.0	0.0	1.0	1498636174.0	0.0	0.0
太	0.0	0.0	0.0	0.0	3.0	1498420763.0	0.0	0.0
了	0.0	0.0	0.0	0.0	5.0	1498577718.0	0.0	0.0
机场	0.0	0.0	0.0	0.0	1.0	1498725051.0	0.0	0.0
打电话	0.0	0.0	0.0	0.0	0.0	1498725434.0	0.0	0.0
俄国	0.0	0.0	0.0	0.0	3.0	1498636142.0	0.0	0.0
公交车	0.0	0.0	0.0	0.0	1.0	1498725059.0	0.0	0.0
他是	0.0	0.0	0.0	0.0	2.0	1498636139.0	0.0	0.0
对面	0.0	0.0	0.0	0.0	-1.0	1498725146.0	0.0	0.0
上	0.0	0.0	0.0	0.0	1.0	1498407269.0	0.0	0.0
电视	0.0	0.0	0.0	0.0	0.0	1498467561.0	0.0	0.0
叫	0.0	0.0	0.0	0.0	4.0	1498577717.0	0.0	0.0
再说	0.0	0.0	0.0	0.0	4.0	1498577689.0	0.0	0.0
美国	0.0	0.0	0.0	0.0	3.0	1498467640.0	0.0	0.0
能	0.0	0.0	0.0	0.0	1.0	1498725137.0	0.0	0.0
银行	0.0	0.0	0.0	0.0	0.0	1498468311.0	0.0	0.0
吃	0.0	0.0	0.0	0.0	5.0	1498725315.0	0.0	0.0
名字	0.0	0.0	0.0	0.0	-1.0	1498577671.0	0.0	0.0
冷	0.0	0.0	0.0	0.0	4.0	1498725363.0	0.0	0.0
做	0.0	0.0	0.0	0.0	3.0	1498467893.0	0.0	0.0
飞机	0.0	0.0	0.0	0.0	-1.0	1498725067.0	0.0	0.0
没有	0.0	0.0	0.0	0.0	2.0	1498636764.0	0.0	0.0
呢	0.0	0.0	0.0	0.0	1.0	1498725443.0	0.0	0.0
没关系	0.0	0.0	0.0	0.0	-2.0	1498636170.0	0.0	0.0
直走	0.0	0.0	0.0	0.0	1.0	1498724921.0	0.0	0.0
学生	0.0	0.0	0.0	0.0	-5.0	1498725198.0	0.0	0.0
小姐	0.0	0.0	0.0	0.0	2.0	1498725338.0	0.0	0.0
最后	0.0	0.0	0.0	0.0	0.0	1498725313.0	0.0	0.0
假期	0.0	0.0	0.0	0.0	0.0	1498725451.0	0.0	0.0
不	0.0	0.0	0.0	0.0	4.0	1498468268.0	0.0	0.0
讲座	0.0	0.0	0.0	0.0	-2.0	1498725517.0	0.0	0.0
谁	0.0	0.0	0.0	0.0	5.0	1498636145.0	0.0	0.0
十字路口	0.0	0.0	0.0	0.0	1.0	1498725007.0	0.0	0.0
一点儿	0.0	0.0	0.0	0.0	-2.0	1498577542.0	0.0	0.0
去	0.0	0.0	0.0	0.0	2.0	1498636314.0	0.0	0.0
宿舍	0.0	0.0	0.0	0.0	3.0	1498636774.0	0.0	0.0
不客气	0.0	0.0	0.0	0.0	-2.0	1498725259.0	0.0	0.0
下午	0.0	0.0	0.0	0.0	3.0	1498577755.0	0.0	0.0
高铁	0.0	0.0	0.0	0.0	-1.0	1498724916.0	0.0	0.0
你好	0.0	0.0	0.0	0.0	4.0	1498636008.0	0.0	0.0
老师	0.0	0.0	0.0	0.0	4.0	1498636733.0	0.0	0.0
贵姓	0.0	0.0	0.0	0.0	1.0	1498635911.0	0.0	0.0
德国人	0.0	0.0	0.0	0.0	2.0	1498636720.0	0.0	0.0
听	0.0	0.0	0.0	0.0	3.0	1498467584.0	0.0	0.0
聪明	0.0	0.0	0.0	0.0	2.0	1498468349.0	0.0	0.0
中国	0.0	0.0	0.0	0.0	5.0	1498577489.0	0.0	0.0
大学	0.0	0.0	0.0	0.0	0.0	1498636644.0	0.0	0.0
热	0.0	0.0	0.0	0.0	-1.0	1498636770.0	0.0	0.0
然后	0.0	0.0	0.0	0.0	3.0	1498725352.0	0.0	0.0
看	0.0	0.0	0.0	0.0	2.0	1498636291.0	0.0	0.0
下	0.0	0.0	0.0	0.0	3.0	1498635990.0	0.0	0.0
转	0.0	0.0	0.0	0.0	1.0	1498724909.0	0.0	0.0
首先	0.0	0.0	0.0	0.0	-1.0	1498725042.0	0.0	0.0
可爱	0.0	0.0	0.0	0.0	5.0	1498577554.0	0.0	0.0
远	0.0	0.0	0.0	0.0	1.0	1498725120.0	0.0	0.0
六	0.0	0.0	0.0	0.0	0.0	1498725381.0	0.0	0.0
上午	0.0	0.0	0.0	0.0	2.0	1498636182.0	0.0	0.0
记者	0.0	0.0	0.0	0.0	3.0	1498725440.0	0.0	0.0
喝	0.0	0.0	0.0	0.0	3.0	1498468402.0	0.0	0.0
八	0.0	0.0	0.0	0.0	-1.0	1498726062.0	0.0	0.0
但是	0.0	0.0	0.0	0.0	3.0	1498467768.0	0.0	0.0
喜欢	0.0	0.0	0.0	0.0	-5.0	1498636256.0	0.0	0.0
知道	0.0	0.0	0.0	0.0	-1.0	1498636277.0	0.0	0.0
漂亮	0.0	0.0	0.0	0.0	-1.0	1498725300.0	0.0	0.0
